# theta_arcmin xi1h xi2h xi
0.01 1.915e-09 4.562e-10 2.372e-09
1.02 1.861e-09 4.542e-10 2.315e-09
2.03 1.716e-09 4.486e-10 2.164e-09
3.04 1.521e-09 4.401e-10 1.961e-09
4.05 1.318e-09 4.298e-10 1.747e-09
5.06 1.131e-09 4.184e-10 1.550e-09
6.07 9.724e-10 4.067e-10 1.379e-09
7.08 8.408e-10 3.949e-10 1.236e-09
8.09 7.329e-10 3.834e-10 1.116e-09
9.10 6.440e-10 3.723e-10 1.016e-09
10.11 5.701e-10 3.615e-10 9.317e-10
11.12 5.082e-10 3.513e-10 8.595e-10
12.13 4.559e-10 3.414e-10 7.973e-10
13.14 4.112e-10 3.320e-10 7.432e-10
14.15 3.728e-10 3.230e-10 6.958e-10
15.16 3.395e-10 3.144e-10 6.540e-10
16.17 3.105e-10 3.062e-10 6.167e-10
17.18 2.850e-10 2.984e-10 5.834e-10
18.19 2.625e-10 2.909e-10 5.534e-10
19.20 2.426e-10 2.837e-10 5.262e-10
20.21 2.248e-10 2.768e-10 5.016e-10
21.22 2.089e-10 2.702e-10 4.790e-10
22.23 1.946e-10 2.638e-10 4.584e-10
23.24 1.817e-10 2.577e-10 4.394e-10
24.25 1.700e-10 2.519e-10 4.219e-10
25.26 1.594e-10 2.463e-10 4.056e-10
26.27 1.497e-10 2.408e-10 3.905e-10
27.28 1.409e-10 2.356e-10 3.765e-10
28.29 1.328e-10 2.306e-10 3.634e-10
29.30 1.254e-10 2.257e-10 3.511e-10
30.31 1.186e-10 2.211e-10 3.396e-10
31.32 1.123e-10 2.165e-10 3.288e-10
32.33 1.064e-10 2.122e-10 3.186e-10
33.34 1.011e-10 2.079e-10 3.090e-10
34.35 9.606e-11 2.039e-10 2.999e-10
35.36 9.141e-11 1.999e-10 2.913e-10
36.37 8.709e-11 1.961e-10 2.832e-10
37.38 8.305e-11 1.924e-10 2.754e-10
38.39 7.928e-11 1.888e-10 2.681e-10
39.40 7.576e-11 1.853e-10 2.611e-10
40.41 7.246e-11 1.819e-10 2.544e-10
41.42 6.937e-11 1.786e-10 2.480e-10
42.43 6.646e-11 1.755e-10 2.419e-10
43.44 6.372e-11 1.724e-10 2.361e-10
44.45 6.115e-11 1.694e-10 2.305e-10
45.46 5.872e-11 1.664e-10 2.252e-10
46.47 5.643e-11 1.636e-10 2.200e-10
47.48 5.427e-11 1.608e-10 2.151e-10
48.49 5.223e-11 1.582e-10 2.104e-10
49.50 5.029e-11 1.555e-10 2.058e-10
50.51 4.846e-11 1.530e-10 2.015e-10
51.52 4.672e-11 1.505e-10 1.972e-10
52.53 4.507e-11 1.481e-10 1.932e-10
53.54 4.351e-11 1.457e-10 1.893e-10
54.55 4.202e-11 1.435e-10 1.855e-10
55.56 4.060e-11 1.412e-10 1.818e-10
56.57 3.925e-11 1.390e-10 1.783e-10
57.58 3.797e-11 1.369e-10 1.749e-10
58.59 3.674e-11 1.348e-10 1.716e-10
59.60 3.557e-11 1.328e-10 1.684e-10
60.61 3.446e-11 1.308e-10 1.653e-10
61.62 3.339e-11 1.289e-10 1.623e-10
62.63 3.237e-11 1.270e-10 1.594e-10
63.64 3.140e-11 1.251e-10 1.565e-10
64.65 3.046e-11 1.233e-10 1.538e-10
65.66 2.957e-11 1.216e-10 1.511e-10
66.67 2.871e-11 1.199e-10 1.486e-10
67.68 2.789e-11 1.182e-10 1.461e-10
68.69 2.710e-11 1.165e-10 1.436e-10
69.70 2.635e-11 1.149e-10 1.412e-10
70.71 2.562e-11 1.133e-10 1.389e-10
71.72 2.492e-11 1.118e-10 1.367e-10
72.73 2.425e-11 1.103e-10 1.345e-10
73.74 2.361e-11 1.088e-10 1.324e-10
74.75 2.299e-11 1.073e-10 1.303e-10
75.76 2.239e-11 1.059e-10 1.283e-10
76.77 2.181e-11 1.045e-10 1.263e-10
77.78 2.126e-11 1.031e-10 1.244e-10
78.79 2.072e-11 1.018e-10 1.225e-10
79.80 2.021e-11 1.005e-10 1.207e-10
80.81 1.971e-11 9.921e-11 1.189e-10
81.82 1.923e-11 9.795e-11 1.172e-10
82.83 1.877e-11 9.672e-11 1.155e-10
83.84 1.832e-11 9.551e-11 1.138e-10
84.85 1.789e-11 9.432e-11 1.122e-10
85.86 1.747e-11 9.315e-11 1.106e-10
86.87 1.707e-11 9.201e-11 1.091e-10
87.88 1.668e-11 9.089e-11 1.076e-10
88.89 1.630e-11 8.978e-11 1.061e-10
89.90 1.593e-11 8.870e-11 1.046e-10
90.91 1.558e-11 8.764e-11 1.032e-10
91.92 1.524e-11 8.660e-11 1.018e-10
92.93 1.491e-11 8.557e-11 1.005e-10
93.94 1.458e-11 8.457e-11 9.915e-11
94.95 1.427e-11 8.358e-11 9.785e-11
95.96 1.397e-11 8.261e-11 9.658e-11
96.97 1.368e-11 8.165e-11 9.533e-11
97.98 1.339e-11 8.072e-11 9.411e-11
98.99 1.312e-11 7.979e-11 9.291e-11
100.00 1.285e-11 7.889e-11 9.174e-11
