# theta_arcmin xi1h xi2h xi
0.01 2.626e-09 6.887e-10 3.315e-09
1.02 2.544e-09 6.851e-10 3.229e-09
2.03 2.328e-09 6.750e-10 3.003e-09
3.04 2.041e-09 6.600e-10 2.701e-09
4.05 1.745e-09 6.418e-10 2.386e-09
5.06 1.478e-09 6.220e-10 2.100e-09
6.07 1.255e-09 6.017e-10 1.857e-09
7.08 1.074e-09 5.817e-10 1.656e-09
8.09 9.280e-10 5.623e-10 1.490e-09
9.10 8.091e-10 5.436e-10 1.353e-09
10.11 7.116e-10 5.258e-10 1.237e-09
11.12 6.306e-10 5.089e-10 1.140e-09
12.13 5.627e-10 4.929e-10 1.056e-09
13.14 5.052e-10 4.776e-10 9.829e-10
14.15 4.561e-10 4.632e-10 9.193e-10
15.16 4.139e-10 4.494e-10 8.633e-10
16.17 3.772e-10 4.364e-10 8.135e-10
17.18 3.451e-10 4.239e-10 7.691e-10
18.19 3.170e-10 4.121e-10 7.291e-10
19.20 2.922e-10 4.008e-10 6.930e-10
20.21 2.701e-10 3.900e-10 6.601e-10
21.22 2.504e-10 3.798e-10 6.302e-10
22.23 2.328e-10 3.699e-10 6.027e-10
23.24 2.169e-10 3.605e-10 5.775e-10
24.25 2.026e-10 3.515e-10 5.541e-10
25.26 1.897e-10 3.429e-10 5.326e-10
26.27 1.779e-10 3.346e-10 5.125e-10
27.28 1.672e-10 3.267e-10 4.938e-10
28.29 1.574e-10 3.190e-10 4.764e-10
29.30 1.484e-10 3.117e-10 4.601e-10
30.31 1.401e-10 3.046e-10 4.448e-10
31.32 1.326e-10 2.978e-10 4.304e-10
32.33 1.256e-10 2.913e-10 4.168e-10
33.34 1.191e-10 2.849e-10 4.040e-10
34.35 1.131e-10 2.788e-10 3.919e-10
35.36 1.075e-10 2.730e-10 3.805e-10
36.37 1.023e-10 2.673e-10 3.696e-10
37.38 9.752e-11 2.618e-10 3.593e-10
38.39 9.303e-11 2.565e-10 3.495e-10
39.40 8.883e-11 2.513e-10 3.402e-10
40.41 8.490e-11 2.464e-10 3.313e-10
41.42 8.122e-11 2.416e-10 3.228e-10
42.43 7.777e-11 2.369e-10 3.147e-10
43.44 7.453e-11 2.324e-10 3.069e-10
44.45 7.148e-11 2.280e-10 2.995e-10
45.46 6.861e-11 2.237e-10 2.923e-10
46.47 6.590e-11 2.196e-10 2.855e-10
47.48 6.335e-11 2.156e-10 2.790e-10
48.49 6.093e-11 2.117e-10 2.727e-10
49.50 5.865e-11 2.079e-10 2.666e-10
50.51 5.649e-11 2.043e-10 2.608e-10
51.52 5.445e-11 2.007e-10 2.551e-10
52.53 5.250e-11 1.972e-10 2.497e-10
53.54 5.066e-11 1.939e-10 2.445e-10
54.55 4.891e-11 1.906e-10 2.395e-10
55.56 4.725e-11 1.874e-10 2.346e-10
56.57 4.567e-11 1.842e-10 2.299e-10
57.58 4.416e-11 1.812e-10 2.254e-10
58.59 4.272e-11 1.783e-10 2.210e-10
59.60 4.135e-11 1.754e-10 2.167e-10
60.61 4.005e-11 1.726e-10 2.126e-10
61.62 3.880e-11 1.698e-10 2.086e-10
62.63 3.760e-11 1.671e-10 2.047e-10
63.64 3.646e-11 1.645e-10 2.010e-10
64.65 3.537e-11 1.620e-10 1.974e-10
65.66 3.433e-11 1.595e-10 1.938e-10
66.67 3.333e-11 1.571e-10 1.904e-10
67.68 3.237e-11 1.547e-10 1.871e-10
68.69 3.145e-11 1.524e-10 1.838e-10
69.70 3.057e-11 1.501e-10 1.807e-10
70.71 2.972e-11 1.479e-10 1.776e-10
71.72 2.891e-11 1.458e-10 1.747e-10
72.73 2.813e-11 1.436e-10 1.718e-10
73.74 2.737e-11 1.416e-10 1.690e-10
74.75 2.665e-11 1.396e-10 1.662e-10
75.76 2.595e-11 1.376e-10 1.635e-10
76.77 2.528e-11 1.356e-10 1.609e-10
77.78 2.464e-11 1.338e-10 1.584e-10
78.79 2.402e-11 1.319e-10 1.559e-10
79.80 2.342e-11 1.301e-10 1.535e-10
80.81 2.284e-11 1.283e-10 1.512e-10
81.82 2.228e-11 1.266e-10 1.489e-10
82.83 2.175e-11 1.249e-10 1.466e-10
83.84 2.123e-11 1.232e-10 1.444e-10
84.85 2.072e-11 1.216e-10 1.423e-10
85.86 2.024e-11 1.200e-10 1.402e-10
86.87 1.977e-11 1.184e-10 1.382e-10
87.88 1.932e-11 1.169e-10 1.362e-10
88.89 1.888e-11 1.153e-10 1.342e-10
89.90 1.846e-11 1.139e-10 1.323e-10
90.91 1.805e-11 1.124e-10 1.305e-10
91.92 1.765e-11 1.110e-10 1.286e-10
92.93 1.726e-11 1.096e-10 1.269e-10
93.94 1.689e-11 1.082e-10 1.251e-10
94.95 1.653e-11 1.069e-10 1.234e-10
95.96 1.618e-11 1.056e-10 1.217e-10
96.97 1.584e-11 1.043e-10 1.201e-10
97.98 1.551e-11 1.030e-10 1.185e-10
98.99 1.519e-11 1.017e-10 1.169e-10
100.00 1.488e-11 1.005e-10 1.154e-10
