# theta_arcmin xi1h xi2h xi
0.01 1.842e-09 4.365e-10 2.278e-09
1.53 1.729e-09 4.323e-10 2.161e-09
3.04 1.465e-09 4.212e-10 1.886e-09
4.56 1.177e-09 4.061e-10 1.583e-09
6.07 9.384e-10 3.894e-10 1.328e-09
7.59 7.576e-10 3.728e-10 1.130e-09
9.10 6.227e-10 3.567e-10 9.794e-10
10.62 5.205e-10 3.416e-10 8.620e-10
12.13 4.415e-10 3.273e-10 7.688e-10
13.65 3.791e-10 3.141e-10 6.932e-10
15.16 3.291e-10 3.016e-10 6.308e-10
16.68 2.883e-10 2.900e-10 5.784e-10
18.19 2.547e-10 2.792e-10 5.338e-10
19.71 2.265e-10 2.690e-10 4.955e-10
21.22 2.028e-10 2.594e-10 4.622e-10
22.74 1.825e-10 2.504e-10 4.329e-10
24.25 1.651e-10 2.419e-10 4.070e-10
25.77 1.500e-10 2.339e-10 3.840e-10
27.28 1.369e-10 2.264e-10 3.633e-10
28.80 1.254e-10 2.192e-10 3.447e-10
30.31 1.153e-10 2.125e-10 3.277e-10
31.83 1.063e-10 2.060e-10 3.123e-10
33.34 9.829e-11 1.999e-10 2.982e-10
34.86 9.114e-11 1.941e-10 2.853e-10
36.37 8.473e-11 1.886e-10 2.733e-10
37.89 7.895e-11 1.833e-10 2.622e-10
39.40 7.373e-11 1.783e-10 2.520e-10
40.92 6.899e-11 1.734e-10 2.424e-10
42.43 6.469e-11 1.688e-10 2.335e-10
43.95 6.076e-11 1.644e-10 2.252e-10
45.46 5.717e-11 1.602e-10 2.174e-10
46.98 5.388e-11 1.562e-10 2.100e-10
48.49 5.086e-11 1.523e-10 2.031e-10
50.01 4.807e-11 1.485e-10 1.966e-10
51.52 4.550e-11 1.450e-10 1.905e-10
53.04 4.313e-11 1.415e-10 1.846e-10
54.55 4.093e-11 1.382e-10 1.791e-10
56.07 3.889e-11 1.350e-10 1.739e-10
57.58 3.699e-11 1.319e-10 1.689e-10
59.10 3.522e-11 1.289e-10 1.642e-10
60.61 3.357e-11 1.261e-10 1.596e-10
62.13 3.203e-11 1.233e-10 1.553e-10
63.64 3.059e-11 1.206e-10 1.512e-10
65.16 2.924e-11 1.181e-10 1.473e-10
66.67 2.798e-11 1.156e-10 1.435e-10
68.19 2.679e-11 1.131e-10 1.399e-10
69.70 2.568e-11 1.108e-10 1.365e-10
71.22 2.463e-11 1.085e-10 1.332e-10
72.73 2.364e-11 1.064e-10 1.300e-10
74.25 2.270e-11 1.042e-10 1.269e-10
75.76 2.182e-11 1.022e-10 1.240e-10
77.28 2.099e-11 1.002e-10 1.212e-10
78.79 2.020e-11 9.824e-11 1.184e-10
80.31 1.945e-11 9.636e-11 1.158e-10
81.82 1.875e-11 9.454e-11 1.133e-10
83.34 1.808e-11 9.276e-11 1.108e-10
84.85 1.744e-11 9.104e-11 1.085e-10
86.37 1.683e-11 8.937e-11 1.062e-10
87.88 1.626e-11 8.774e-11 1.040e-10
89.40 1.571e-11 8.616e-11 1.019e-10
90.91 1.519e-11 8.462e-11 9.981e-11
92.43 1.469e-11 8.313e-11 9.782e-11
93.94 1.422e-11 8.167e-11 9.589e-11
95.46 1.377e-11 8.025e-11 9.402e-11
96.97 1.333e-11 7.887e-11 9.220e-11
98.49 1.292e-11 7.752e-11 9.044e-11
100.00 1.253e-11 7.621e-11 8.874e-11
101.52 1.215e-11 7.493e-11 8.708e-11
103.03 1.179e-11 7.369e-11 8.548e-11
104.55 1.144e-11 7.247e-11 8.392e-11
106.06 1.111e-11 7.129e-11 8.240e-11
107.58 1.080e-11 7.013e-11 8.092e-11
109.09 1.049e-11 6.900e-11 7.949e-11
110.61 1.020e-11 6.790e-11 7.810e-11
112.12 9.917e-12 6.682e-11 7.674e-11
113.64 9.647e-12 6.577e-11 7.542e-11
115.15 9.388e-12 6.475e-11 7.413e-11
116.67 9.138e-12 6.374e-11 7.288e-11
118.18 8.899e-12 6.276e-11 7.166e-11
119.70 8.668e-12 6.181e-11 7.048e-11
121.21 8.446e-12 6.087e-11 6.932e-11
122.73 8.232e-12 5.996e-11 6.819e-11
124.24 8.026e-12 5.906e-11 6.709e-11
125.76 7.827e-12 5.819e-11 6.601e-11
127.27 7.636e-12 5.733e-11 6.497e-11
128.79 7.451e-12 5.649e-11 6.394e-11
130.30 7.272e-12 5.567e-11 6.295e-11
131.82 7.100e-12 5.487e-11 6.197e-11
133.33 6.933e-12 5.409e-11 6.102e-11
134.85 6.772e-12 5.332e-11 6.009e-11
136.36 6.617e-12 5.257e-11 5.918e-11
137.88 6.467e-12 5.183e-11 5.829e-11
139.39 6.321e-12 5.111e-11 5.743e-11
140.91 6.181e-12 5.040e-11 5.658e-11
142.42 6.045e-12 4.970e-11 5.575e-11
143.94 5.913e-12 4.903e-11 5.494e-11
145.45 5.786e-12 4.836e-11 5.415e-11
146.97 5.662e-12 4.771e-11 5.337e-11
148.48 5.543e-12 4.707e-11 5.261e-11
150.00 5.427e-12 4.644e-11 5.187e-11
