# theta_arcmin xi1h xi2h xi
0.01 2.318e-09 5.793e-10 2.897e-09
1.53 2.168e-09 5.732e-10 2.741e-09
3.04 1.820e-09 5.571e-10 2.377e-09
4.56 1.445e-09 5.353e-10 1.981e-09
6.07 1.139e-09 5.115e-10 1.651e-09
7.59 9.111e-10 4.878e-10 1.399e-09
9.10 7.431e-10 4.652e-10 1.208e-09
10.62 6.173e-10 4.440e-10 1.061e-09
12.13 5.208e-10 4.242e-10 9.450e-10
13.65 4.453e-10 4.058e-10 8.511e-10
15.16 3.850e-10 3.887e-10 7.737e-10
16.68 3.362e-10 3.728e-10 7.090e-10
18.19 2.961e-10 3.579e-10 6.540e-10
19.71 2.627e-10 3.441e-10 6.067e-10
21.22 2.345e-10 3.311e-10 5.657e-10
22.74 2.107e-10 3.190e-10 5.296e-10
24.25 1.902e-10 3.076e-10 4.978e-10
25.77 1.726e-10 2.968e-10 4.694e-10
27.28 1.572e-10 2.867e-10 4.439e-10
28.80 1.438e-10 2.772e-10 4.209e-10
30.31 1.320e-10 2.681e-10 4.001e-10
31.83 1.215e-10 2.596e-10 3.811e-10
33.34 1.123e-10 2.515e-10 3.638e-10
34.86 1.040e-10 2.438e-10 3.478e-10
36.37 9.659e-11 2.365e-10 3.331e-10
37.89 8.993e-11 2.295e-10 3.194e-10
39.40 8.391e-11 2.229e-10 3.068e-10
40.92 7.847e-11 2.166e-10 2.950e-10
42.43 7.352e-11 2.105e-10 2.840e-10
43.95 6.901e-11 2.048e-10 2.738e-10
45.46 6.489e-11 1.992e-10 2.641e-10
46.98 6.112e-11 1.940e-10 2.551e-10
48.49 5.766e-11 1.889e-10 2.466e-10
50.01 5.448e-11 1.841e-10 2.385e-10
51.52 5.155e-11 1.794e-10 2.309e-10
53.04 4.883e-11 1.749e-10 2.238e-10
54.55 4.632e-11 1.706e-10 2.170e-10
56.07 4.400e-11 1.665e-10 2.105e-10
57.58 4.184e-11 1.625e-10 2.044e-10
59.10 3.982e-11 1.587e-10 1.985e-10
60.61 3.795e-11 1.550e-10 1.930e-10
62.13 3.620e-11 1.515e-10 1.877e-10
63.64 3.456e-11 1.480e-10 1.826e-10
65.16 3.303e-11 1.447e-10 1.778e-10
66.67 3.160e-11 1.415e-10 1.731e-10
68.19 3.025e-11 1.384e-10 1.687e-10
69.70 2.898e-11 1.355e-10 1.644e-10
71.22 2.779e-11 1.326e-10 1.604e-10
72.73 2.667e-11 1.298e-10 1.564e-10
74.25 2.562e-11 1.271e-10 1.527e-10
75.76 2.462e-11 1.245e-10 1.491e-10
77.28 2.367e-11 1.219e-10 1.456e-10
78.79 2.278e-11 1.195e-10 1.422e-10
80.31 2.194e-11 1.171e-10 1.390e-10
81.82 2.114e-11 1.148e-10 1.359e-10
83.34 2.038e-11 1.125e-10 1.329e-10
84.85 1.966e-11 1.104e-10 1.300e-10
86.37 1.898e-11 1.082e-10 1.272e-10
87.88 1.833e-11 1.062e-10 1.245e-10
89.40 1.771e-11 1.042e-10 1.219e-10
90.91 1.712e-11 1.023e-10 1.194e-10
92.43 1.656e-11 1.004e-10 1.169e-10
93.94 1.602e-11 9.856e-11 1.146e-10
95.46 1.551e-11 9.678e-11 1.123e-10
96.97 1.503e-11 9.504e-11 1.101e-10
98.49 1.456e-11 9.336e-11 1.079e-10
100.00 1.412e-11 9.172e-11 1.058e-10
101.52 1.369e-11 9.012e-11 1.038e-10
103.03 1.329e-11 8.856e-11 1.018e-10
104.55 1.290e-11 8.704e-11 9.994e-11
106.06 1.252e-11 8.556e-11 9.809e-11
107.58 1.217e-11 8.412e-11 9.629e-11
109.09 1.182e-11 8.271e-11 9.454e-11
110.61 1.149e-11 8.134e-11 9.284e-11
112.12 1.118e-11 8.001e-11 9.118e-11
113.64 1.087e-11 7.870e-11 8.957e-11
115.15 1.058e-11 7.743e-11 8.801e-11
116.67 1.030e-11 7.618e-11 8.648e-11
118.18 1.003e-11 7.497e-11 8.500e-11
119.70 9.769e-12 7.378e-11 8.355e-11
121.21 9.519e-12 7.262e-11 8.214e-11
122.73 9.279e-12 7.149e-11 8.077e-11
124.24 9.047e-12 7.039e-11 7.943e-11
125.76 8.823e-12 6.931e-11 7.813e-11
127.27 8.607e-12 6.825e-11 7.686e-11
128.79 8.399e-12 6.722e-11 7.562e-11
130.30 8.198e-12 6.621e-11 7.440e-11
131.82 8.004e-12 6.522e-11 7.322e-11
133.33 7.816e-12 6.425e-11 7.207e-11
134.85 7.635e-12 6.330e-11 7.094e-11
136.36 7.460e-12 6.238e-11 6.984e-11
137.88 7.291e-12 6.147e-11 6.876e-11
139.39 7.128e-12 6.059e-11 6.771e-11
140.91 6.970e-12 5.972e-11 6.669e-11
142.42 6.817e-12 5.887e-11 6.568e-11
143.94 6.668e-12 5.803e-11 6.470e-11
145.45 6.525e-12 5.722e-11 6.374e-11
146.97 6.386e-12 5.642e-11 6.281e-11
148.48 6.252e-12 5.564e-11 6.189e-11
150.00 6.121e-12 5.487e-11 6.099e-11
