# theta_arcmin xi1h xi2h xi
0.01 2.091e-09 5.082e-10 2.599e-09
1.53 1.959e-09 5.031e-10 2.462e-09
3.04 1.652e-09 4.896e-10 2.142e-09
4.56 1.320e-09 4.713e-10 1.792e-09
6.07 1.047e-09 4.512e-10 1.498e-09
7.59 8.410e-10 4.312e-10 1.272e-09
9.10 6.885e-10 4.119e-10 1.100e-09
10.62 5.737e-10 3.938e-10 9.675e-10
12.13 4.852e-10 3.769e-10 8.621e-10
13.65 4.158e-10 3.611e-10 7.769e-10
15.16 3.602e-10 3.464e-10 7.066e-10
16.68 3.150e-10 3.326e-10 6.477e-10
18.19 2.778e-10 3.198e-10 5.976e-10
19.71 2.468e-10 3.078e-10 5.545e-10
21.22 2.206e-10 2.965e-10 5.171e-10
22.74 1.983e-10 2.859e-10 4.843e-10
24.25 1.792e-10 2.760e-10 4.552e-10
25.77 1.627e-10 2.666e-10 4.294e-10
27.28 1.484e-10 2.578e-10 4.062e-10
28.80 1.358e-10 2.494e-10 3.852e-10
30.31 1.247e-10 2.415e-10 3.662e-10
31.83 1.149e-10 2.340e-10 3.489e-10
33.34 1.062e-10 2.269e-10 3.331e-10
34.86 9.844e-11 2.201e-10 3.186e-10
36.37 9.146e-11 2.137e-10 3.052e-10
37.89 8.518e-11 2.076e-10 2.927e-10
39.40 7.951e-11 2.017e-10 2.812e-10
40.92 7.438e-11 1.961e-10 2.705e-10
42.43 6.971e-11 1.908e-10 2.605e-10
43.95 6.545e-11 1.857e-10 2.512e-10
45.46 6.156e-11 1.808e-10 2.424e-10
46.98 5.800e-11 1.761e-10 2.341e-10
48.49 5.473e-11 1.717e-10 2.264e-10
50.01 5.172e-11 1.673e-10 2.191e-10
51.52 4.895e-11 1.632e-10 2.122e-10
53.04 4.638e-11 1.592e-10 2.056e-10
54.55 4.400e-11 1.554e-10 1.994e-10
56.07 4.180e-11 1.517e-10 1.935e-10
57.58 3.975e-11 1.482e-10 1.879e-10
59.10 3.785e-11 1.448e-10 1.826e-10
60.61 3.607e-11 1.415e-10 1.776e-10
62.13 3.441e-11 1.383e-10 1.727e-10
63.64 3.286e-11 1.353e-10 1.681e-10
65.16 3.140e-11 1.323e-10 1.637e-10
66.67 3.004e-11 1.294e-10 1.595e-10
68.19 2.876e-11 1.267e-10 1.554e-10
69.70 2.756e-11 1.240e-10 1.516e-10
71.22 2.643e-11 1.214e-10 1.478e-10
72.73 2.537e-11 1.189e-10 1.443e-10
74.25 2.436e-11 1.165e-10 1.408e-10
75.76 2.342e-11 1.141e-10 1.375e-10
77.28 2.252e-11 1.119e-10 1.344e-10
78.79 2.167e-11 1.096e-10 1.313e-10
80.31 2.087e-11 1.075e-10 1.284e-10
81.82 2.011e-11 1.054e-10 1.255e-10
83.34 1.939e-11 1.034e-10 1.228e-10
84.85 1.871e-11 1.015e-10 1.202e-10
86.37 1.806e-11 9.955e-11 1.176e-10
87.88 1.744e-11 9.770e-11 1.151e-10
89.40 1.685e-11 9.590e-11 1.128e-10
90.91 1.629e-11 9.416e-11 1.104e-10
92.43 1.576e-11 9.246e-11 1.082e-10
93.94 1.525e-11 9.080e-11 1.061e-10
95.46 1.476e-11 8.919e-11 1.040e-10
96.97 1.430e-11 8.763e-11 1.019e-10
98.49 1.386e-11 8.610e-11 9.996e-11
100.00 1.344e-11 8.462e-11 9.805e-11
101.52 1.303e-11 8.317e-11 9.620e-11
103.03 1.264e-11 8.176e-11 9.440e-11
104.55 1.227e-11 8.038e-11 9.266e-11
106.06 1.192e-11 7.904e-11 9.096e-11
107.58 1.158e-11 7.774e-11 8.931e-11
109.09 1.125e-11 7.646e-11 8.771e-11
110.61 1.094e-11 7.522e-11 8.615e-11
112.12 1.063e-11 7.400e-11 8.464e-11
113.64 1.035e-11 7.282e-11 8.316e-11
115.15 1.007e-11 7.166e-11 8.173e-11
116.67 9.800e-12 7.053e-11 8.033e-11
118.18 9.543e-12 6.942e-11 7.897e-11
119.70 9.296e-12 6.834e-11 7.764e-11
121.21 9.058e-12 6.729e-11 7.635e-11
122.73 8.829e-12 6.626e-11 7.509e-11
124.24 8.608e-12 6.525e-11 7.386e-11
125.76 8.395e-12 6.427e-11 7.266e-11
127.27 8.189e-12 6.331e-11 7.150e-11
128.79 7.991e-12 6.236e-11 7.036e-11
130.30 7.800e-12 6.144e-11 6.924e-11
131.82 7.615e-12 6.054e-11 6.816e-11
133.33 7.437e-12 5.966e-11 6.710e-11
134.85 7.264e-12 5.880e-11 6.606e-11
136.36 7.098e-12 5.795e-11 6.505e-11
137.88 6.937e-12 5.712e-11 6.406e-11
139.39 6.781e-12 5.631e-11 6.309e-11
140.91 6.630e-12 5.552e-11 6.215e-11
142.42 6.485e-12 5.474e-11 6.123e-11
143.94 6.344e-12 5.398e-11 6.032e-11
145.45 6.207e-12 5.323e-11 5.944e-11
146.97 6.075e-12 5.250e-11 5.858e-11
148.48 5.947e-12 5.179e-11 5.773e-11
150.00 5.822e-12 5.108e-11 5.691e-11
