# theta_arcmin xi1h xi2h xi
0.01 2.760e-09 7.417e-10 3.501e-09
1.53 2.570e-09 7.327e-10 3.303e-09
3.04 2.134e-09 7.093e-10 2.843e-09
4.56 1.673e-09 6.780e-10 2.351e-09
6.07 1.302e-09 6.443e-10 1.947e-09
7.59 1.031e-09 6.113e-10 1.643e-09
9.10 8.348e-10 5.801e-10 1.415e-09
10.62 6.893e-10 5.512e-10 1.240e-09
12.13 5.787e-10 5.245e-10 1.103e-09
13.65 4.928e-10 4.998e-10 9.926e-10
15.16 4.247e-10 4.771e-10 9.018e-10
16.68 3.698e-10 4.560e-10 8.258e-10
18.19 3.248e-10 4.365e-10 7.613e-10
19.71 2.875e-10 4.184e-10 7.059e-10
21.22 2.563e-10 4.015e-10 6.578e-10
22.74 2.298e-10 3.858e-10 6.156e-10
24.25 2.072e-10 3.710e-10 5.782e-10
25.77 1.877e-10 3.572e-10 5.449e-10
27.28 1.708e-10 3.443e-10 5.151e-10
28.80 1.561e-10 3.321e-10 4.882e-10
30.31 1.431e-10 3.206e-10 4.637e-10
31.83 1.317e-10 3.098e-10 4.415e-10
33.34 1.216e-10 2.995e-10 4.211e-10
34.86 1.125e-10 2.898e-10 4.023e-10
36.37 1.044e-10 2.806e-10 3.850e-10
37.89 9.717e-11 2.719e-10 3.691e-10
39.40 9.062e-11 2.636e-10 3.542e-10
40.92 8.469e-11 2.557e-10 3.404e-10
42.43 7.932e-11 2.482e-10 3.275e-10
43.95 7.442e-11 2.410e-10 3.154e-10
45.46 6.995e-11 2.342e-10 3.041e-10
46.98 6.587e-11 2.276e-10 2.935e-10
48.49 6.212e-11 2.214e-10 2.835e-10
50.01 5.867e-11 2.154e-10 2.741e-10
51.52 5.550e-11 2.097e-10 2.652e-10
53.04 5.256e-11 2.042e-10 2.568e-10
54.55 4.985e-11 1.989e-10 2.488e-10
56.07 4.733e-11 1.939e-10 2.412e-10
57.58 4.500e-11 1.890e-10 2.340e-10
59.10 4.283e-11 1.844e-10 2.272e-10
60.61 4.080e-11 1.799e-10 2.207e-10
62.13 3.892e-11 1.756e-10 2.145e-10
63.64 3.715e-11 1.714e-10 2.085e-10
65.16 3.550e-11 1.674e-10 2.029e-10
66.67 3.395e-11 1.635e-10 1.975e-10
68.19 3.250e-11 1.598e-10 1.923e-10
69.70 3.114e-11 1.562e-10 1.873e-10
71.22 2.986e-11 1.527e-10 1.826e-10
72.73 2.865e-11 1.493e-10 1.780e-10
74.25 2.751e-11 1.461e-10 1.736e-10
75.76 2.644e-11 1.430e-10 1.694e-10
77.28 2.542e-11 1.399e-10 1.653e-10
78.79 2.446e-11 1.370e-10 1.614e-10
80.31 2.356e-11 1.341e-10 1.577e-10
81.82 2.270e-11 1.314e-10 1.541e-10
83.34 2.188e-11 1.287e-10 1.506e-10
84.85 2.111e-11 1.261e-10 1.472e-10
86.37 2.037e-11 1.236e-10 1.440e-10
87.88 1.968e-11 1.212e-10 1.408e-10
89.40 1.901e-11 1.188e-10 1.378e-10
90.91 1.838e-11 1.165e-10 1.349e-10
92.43 1.778e-11 1.143e-10 1.320e-10
93.94 1.720e-11 1.121e-10 1.293e-10
95.46 1.665e-11 1.100e-10 1.267e-10
96.97 1.613e-11 1.080e-10 1.241e-10
98.49 1.563e-11 1.060e-10 1.216e-10
100.00 1.516e-11 1.040e-10 1.192e-10
101.52 1.470e-11 1.021e-10 1.168e-10
103.03 1.426e-11 1.003e-10 1.146e-10
104.55 1.384e-11 9.853e-11 1.124e-10
106.06 1.344e-11 9.679e-11 1.102e-10
107.58 1.306e-11 9.510e-11 1.082e-10
109.09 1.269e-11 9.345e-11 1.061e-10
110.61 1.234e-11 9.184e-11 1.042e-10
112.12 1.200e-11 9.027e-11 1.023e-10
113.64 1.167e-11 8.875e-11 1.004e-10
115.15 1.136e-11 8.726e-11 9.862e-11
116.67 1.106e-11 8.581e-11 9.686e-11
118.18 1.077e-11 8.439e-11 9.516e-11
119.70 1.049e-11 8.301e-11 9.350e-11
121.21 1.022e-11 8.166e-11 9.188e-11
122.73 9.962e-12 8.034e-11 9.031e-11
124.24 9.713e-12 7.906e-11 8.877e-11
125.76 9.473e-12 7.780e-11 8.727e-11
127.27 9.242e-12 7.657e-11 8.582e-11
128.79 9.018e-12 7.537e-11 8.439e-11
130.30 8.803e-12 7.420e-11 8.301e-11
131.82 8.595e-12 7.306e-11 8.165e-11
133.33 8.394e-12 7.194e-11 8.033e-11
134.85 8.199e-12 7.084e-11 7.904e-11
136.36 8.012e-12 6.977e-11 7.779e-11
137.88 7.830e-12 6.873e-11 7.656e-11
139.39 7.655e-12 6.770e-11 7.536e-11
140.91 7.485e-12 6.670e-11 7.419e-11
142.42 7.321e-12 6.572e-11 7.304e-11
143.94 7.162e-12 6.476e-11 7.192e-11
145.45 7.009e-12 6.382e-11 7.083e-11
146.97 6.860e-12 6.290e-11 6.976e-11
148.48 6.715e-12 6.200e-11 6.872e-11
150.00 6.575e-12 6.112e-11 6.769e-11
