#l, l(1+l)cl/2/pi mu k^2
225.14960094958724, 0.5535816904433757
262.0712482554446, 0.6785286978342393
322.47415283571314, 0.8958799618004807
408.71568671093183, 1.192178313186975
561.9681255779254, 1.6956725875530478
789.9761913318542, 2.310304330366405
971.9113281645728, 2.7126674372999005
1200.1765016270579, 3.185117964568546
1476.518502320162, 3.6104938663375545
1963.223983460428, 4.206595344474992
2779.5923930821646, 4.731903521911471
3949.6860234395813, 4.98044973773851
5632.451436546676, 4.753800810984353
7109.032106411862, 4.2951840355005215
9173.81783932735, 3.820659252151838
9840.969665974308, 3.660037937962992
