# theta_arcmin xi1h xi2h xi
0.01 2.984e-09 8.402e-10 3.824e-09
1.02 2.886e-09 8.352e-10 3.721e-09
2.03 2.628e-09 8.212e-10 3.449e-09
3.04 2.287e-09 8.005e-10 3.088e-09
4.05 1.940e-09 7.757e-10 2.716e-09
5.06 1.631e-09 7.490e-10 2.380e-09
6.07 1.376e-09 7.219e-10 2.098e-09
7.08 1.171e-09 6.954e-10 1.866e-09
8.09 1.006e-09 6.700e-10 1.676e-09
9.10 8.740e-10 6.458e-10 1.520e-09
10.11 7.660e-10 6.228e-10 1.389e-09
11.12 6.769e-10 6.011e-10 1.278e-09
12.13 6.026e-10 5.807e-10 1.183e-09
13.14 5.399e-10 5.613e-10 1.101e-09
14.15 4.865e-10 5.431e-10 1.030e-09
15.16 4.407e-10 5.258e-10 9.664e-10
16.17 4.010e-10 5.094e-10 9.104e-10
17.18 3.665e-10 4.939e-10 8.604e-10
18.19 3.362e-10 4.792e-10 8.154e-10
19.20 3.095e-10 4.652e-10 7.747e-10
20.21 2.858e-10 4.519e-10 7.378e-10
21.22 2.648e-10 4.393e-10 7.040e-10
22.23 2.459e-10 4.272e-10 6.731e-10
23.24 2.290e-10 4.157e-10 6.447e-10
24.25 2.138e-10 4.047e-10 6.184e-10
25.26 2.000e-10 3.941e-10 5.941e-10
26.27 1.875e-10 3.841e-10 5.715e-10
27.28 1.761e-10 3.744e-10 5.505e-10
28.29 1.657e-10 3.652e-10 5.308e-10
29.30 1.561e-10 3.563e-10 5.125e-10
30.31 1.474e-10 3.478e-10 4.952e-10
31.32 1.393e-10 3.396e-10 4.790e-10
32.33 1.319e-10 3.318e-10 4.637e-10
33.34 1.251e-10 3.242e-10 4.493e-10
34.35 1.187e-10 3.169e-10 4.356e-10
35.36 1.129e-10 3.099e-10 4.227e-10
36.37 1.074e-10 3.031e-10 4.105e-10
37.38 1.023e-10 2.965e-10 3.989e-10
38.39 9.758e-11 2.902e-10 3.878e-10
39.40 9.315e-11 2.841e-10 3.773e-10
40.41 8.901e-11 2.782e-10 3.672e-10
41.42 8.514e-11 2.725e-10 3.577e-10
42.43 8.150e-11 2.670e-10 3.485e-10
43.44 7.809e-11 2.617e-10 3.398e-10
44.45 7.488e-11 2.565e-10 3.314e-10
45.46 7.186e-11 2.515e-10 3.234e-10
46.47 6.901e-11 2.467e-10 3.157e-10
47.48 6.633e-11 2.420e-10 3.083e-10
48.49 6.379e-11 2.374e-10 3.012e-10
49.50 6.139e-11 2.330e-10 2.944e-10
50.51 5.913e-11 2.287e-10 2.878e-10
51.52 5.698e-11 2.245e-10 2.815e-10
52.53 5.494e-11 2.205e-10 2.754e-10
53.54 5.300e-11 2.165e-10 2.695e-10
54.55 5.117e-11 2.127e-10 2.639e-10
55.56 4.942e-11 2.090e-10 2.584e-10
56.57 4.776e-11 2.053e-10 2.531e-10
57.58 4.618e-11 2.018e-10 2.480e-10
58.59 4.468e-11 1.984e-10 2.431e-10
59.60 4.324e-11 1.950e-10 2.383e-10
60.61 4.187e-11 1.918e-10 2.337e-10
61.62 4.056e-11 1.886e-10 2.292e-10
62.63 3.931e-11 1.855e-10 2.248e-10
63.64 3.812e-11 1.825e-10 2.206e-10
64.65 3.697e-11 1.796e-10 2.166e-10
65.66 3.588e-11 1.767e-10 2.126e-10
66.67 3.483e-11 1.739e-10 2.088e-10
67.68 3.383e-11 1.712e-10 2.050e-10
68.69 3.287e-11 1.685e-10 2.014e-10
69.70 3.194e-11 1.659e-10 1.979e-10
70.71 3.106e-11 1.634e-10 1.945e-10
71.72 3.021e-11 1.609e-10 1.911e-10
72.73 2.939e-11 1.585e-10 1.879e-10
73.74 2.860e-11 1.561e-10 1.847e-10
74.75 2.785e-11 1.538e-10 1.817e-10
75.76 2.712e-11 1.516e-10 1.787e-10
76.77 2.642e-11 1.494e-10 1.758e-10
77.78 2.574e-11 1.472e-10 1.729e-10
78.79 2.509e-11 1.451e-10 1.702e-10
79.80 2.446e-11 1.430e-10 1.675e-10
80.81 2.386e-11 1.410e-10 1.649e-10
81.82 2.328e-11 1.390e-10 1.623e-10
82.83 2.272e-11 1.371e-10 1.598e-10
83.84 2.217e-11 1.352e-10 1.574e-10
84.85 2.165e-11 1.333e-10 1.550e-10
85.86 2.114e-11 1.315e-10 1.527e-10
86.87 2.065e-11 1.297e-10 1.504e-10
87.88 2.018e-11 1.280e-10 1.482e-10
88.89 1.972e-11 1.263e-10 1.460e-10
89.90 1.928e-11 1.246e-10 1.439e-10
90.91 1.885e-11 1.230e-10 1.418e-10
91.92 1.843e-11 1.213e-10 1.398e-10
92.93 1.803e-11 1.198e-10 1.378e-10
93.94 1.764e-11 1.182e-10 1.359e-10
94.95 1.726e-11 1.167e-10 1.340e-10
95.96 1.690e-11 1.152e-10 1.321e-10
96.97 1.654e-11 1.138e-10 1.303e-10
97.98 1.620e-11 1.123e-10 1.285e-10
98.99 1.587e-11 1.109e-10 1.268e-10
100.00 1.554e-11 1.095e-10 1.251e-10
