# theta_arcmin xi1h xi2h xi
0.01 1.777e-09 4.205e-10 2.198e-09
1.53 1.669e-09 4.165e-10 2.085e-09
3.04 1.414e-09 4.058e-10 1.820e-09
4.56 1.138e-09 3.913e-10 1.529e-09
6.07 9.072e-10 3.753e-10 1.283e-09
7.59 7.329e-10 3.592e-10 1.092e-09
9.10 6.026e-10 3.438e-10 9.465e-10
10.62 5.039e-10 3.292e-10 8.332e-10
12.13 4.276e-10 3.156e-10 7.431e-10
13.65 3.673e-10 3.028e-10 6.701e-10
15.16 3.189e-10 2.908e-10 6.098e-10
16.68 2.795e-10 2.797e-10 5.592e-10
18.19 2.469e-10 2.692e-10 5.161e-10
19.71 2.197e-10 2.594e-10 4.791e-10
21.22 1.967e-10 2.502e-10 4.469e-10
22.74 1.770e-10 2.416e-10 4.186e-10
24.25 1.602e-10 2.334e-10 3.936e-10
25.77 1.456e-10 2.257e-10 3.713e-10
27.28 1.329e-10 2.184e-10 3.513e-10
28.80 1.217e-10 2.116e-10 3.333e-10
30.31 1.119e-10 2.050e-10 3.169e-10
31.83 1.032e-10 1.989e-10 3.020e-10
33.34 9.543e-11 1.930e-10 2.884e-10
34.86 8.850e-11 1.874e-10 2.759e-10
36.37 8.228e-11 1.820e-10 2.643e-10
37.89 7.667e-11 1.770e-10 2.536e-10
39.40 7.161e-11 1.721e-10 2.437e-10
40.92 6.702e-11 1.675e-10 2.345e-10
42.43 6.284e-11 1.630e-10 2.259e-10
43.95 5.903e-11 1.588e-10 2.178e-10
45.46 5.554e-11 1.547e-10 2.103e-10
46.98 5.235e-11 1.508e-10 2.032e-10
48.49 4.942e-11 1.471e-10 1.965e-10
50.01 4.671e-11 1.435e-10 1.902e-10
51.52 4.422e-11 1.400e-10 1.842e-10
53.04 4.191e-11 1.367e-10 1.786e-10
54.55 3.978e-11 1.335e-10 1.733e-10
56.07 3.779e-11 1.304e-10 1.682e-10
57.58 3.595e-11 1.274e-10 1.634e-10
59.10 3.424e-11 1.246e-10 1.588e-10
60.61 3.263e-11 1.218e-10 1.544e-10
62.13 3.114e-11 1.191e-10 1.503e-10
63.64 2.974e-11 1.166e-10 1.463e-10
65.16 2.843e-11 1.141e-10 1.425e-10
66.67 2.720e-11 1.117e-10 1.389e-10
68.19 2.605e-11 1.093e-10 1.354e-10
69.70 2.496e-11 1.071e-10 1.321e-10
71.22 2.394e-11 1.049e-10 1.289e-10
72.73 2.298e-11 1.028e-10 1.258e-10
74.25 2.207e-11 1.008e-10 1.228e-10
75.76 2.122e-11 9.877e-11 1.200e-10
77.28 2.041e-11 9.684e-11 1.172e-10
78.79 1.964e-11 9.497e-11 1.146e-10
80.31 1.892e-11 9.316e-11 1.121e-10
81.82 1.823e-11 9.140e-11 1.096e-10
83.34 1.758e-11 8.969e-11 1.073e-10
84.85 1.696e-11 8.803e-11 1.050e-10
86.37 1.637e-11 8.642e-11 1.028e-10
87.88 1.581e-11 8.485e-11 1.007e-10
89.40 1.528e-11 8.332e-11 9.860e-11
90.91 1.477e-11 8.184e-11 9.661e-11
92.43 1.429e-11 8.039e-11 9.468e-11
93.94 1.383e-11 7.899e-11 9.282e-11
95.46 1.339e-11 7.762e-11 9.101e-11
96.97 1.297e-11 7.629e-11 8.925e-11
98.49 1.257e-11 7.499e-11 8.755e-11
100.00 1.218e-11 7.372e-11 8.590e-11
101.52 1.182e-11 7.249e-11 8.430e-11
103.03 1.147e-11 7.128e-11 8.275e-11
104.55 1.113e-11 7.011e-11 8.124e-11
106.06 1.081e-11 6.897e-11 7.977e-11
107.58 1.050e-11 6.785e-11 7.835e-11
109.09 1.020e-11 6.676e-11 7.696e-11
110.61 9.918e-12 6.570e-11 7.561e-11
112.12 9.645e-12 6.466e-11 7.430e-11
113.64 9.382e-12 6.364e-11 7.303e-11
115.15 9.130e-12 6.265e-11 7.178e-11
116.67 8.888e-12 6.169e-11 7.057e-11
118.18 8.655e-12 6.074e-11 6.939e-11
119.70 8.430e-12 5.982e-11 6.825e-11
121.21 8.214e-12 5.891e-11 6.713e-11
122.73 8.006e-12 5.803e-11 6.604e-11
124.24 7.806e-12 5.717e-11 6.497e-11
125.76 7.612e-12 5.632e-11 6.393e-11
127.27 7.426e-12 5.549e-11 6.292e-11
128.79 7.246e-12 5.468e-11 6.193e-11
130.30 7.072e-12 5.389e-11 6.097e-11
131.82 6.905e-12 5.312e-11 6.002e-11
133.33 6.743e-12 5.236e-11 5.910e-11
134.85 6.586e-12 5.162e-11 5.820e-11
136.36 6.435e-12 5.089e-11 5.733e-11
137.88 6.289e-12 5.018e-11 5.647e-11
139.39 6.148e-12 4.948e-11 5.563e-11
140.91 6.011e-12 4.880e-11 5.481e-11
142.42 5.879e-12 4.813e-11 5.401e-11
143.94 5.751e-12 4.747e-11 5.322e-11
145.45 5.627e-12 4.683e-11 5.245e-11
146.97 5.507e-12 4.620e-11 5.170e-11
148.48 5.390e-12 4.558e-11 5.097e-11
150.00 5.278e-12 4.497e-11 5.025e-11
