# theta_arcmin xi1h xi2h xi
0.01 2.466e-09 6.295e-10 3.096e-09
1.53 2.304e-09 6.226e-10 2.926e-09
3.04 1.927e-09 6.044e-10 2.532e-09
4.56 1.525e-09 5.799e-10 2.104e-09
6.07 1.197e-09 5.533e-10 1.750e-09
7.59 9.543e-10 5.269e-10 1.481e-09
9.10 7.764e-10 5.017e-10 1.278e-09
10.62 6.436e-10 4.782e-10 1.122e-09
12.13 5.421e-10 4.564e-10 9.985e-10
13.65 4.629e-10 4.361e-10 8.990e-10
15.16 3.998e-10 4.173e-10 8.171e-10
16.68 3.487e-10 3.998e-10 7.486e-10
18.19 3.068e-10 3.835e-10 6.904e-10
19.71 2.720e-10 3.684e-10 6.404e-10
21.22 2.427e-10 3.542e-10 5.969e-10
22.74 2.179e-10 3.409e-10 5.588e-10
24.25 1.966e-10 3.285e-10 5.251e-10
25.77 1.783e-10 3.168e-10 4.951e-10
27.28 1.624e-10 3.058e-10 4.682e-10
28.80 1.485e-10 2.954e-10 4.439e-10
30.31 1.362e-10 2.856e-10 4.218e-10
31.83 1.254e-10 2.763e-10 4.017e-10
33.34 1.158e-10 2.675e-10 3.834e-10
34.86 1.072e-10 2.592e-10 3.665e-10
36.37 9.958e-11 2.513e-10 3.509e-10
37.89 9.269e-11 2.438e-10 3.365e-10
39.40 8.647e-11 2.366e-10 3.231e-10
40.92 8.084e-11 2.298e-10 3.106e-10
42.43 7.573e-11 2.233e-10 2.990e-10
43.95 7.108e-11 2.171e-10 2.881e-10
45.46 6.683e-11 2.111e-10 2.779e-10
46.98 6.294e-11 2.054e-10 2.684e-10
48.49 5.937e-11 2.000e-10 2.594e-10
50.01 5.608e-11 1.948e-10 2.509e-10
51.52 5.306e-11 1.898e-10 2.428e-10
53.04 5.026e-11 1.850e-10 2.352e-10
54.55 4.767e-11 1.804e-10 2.280e-10
56.07 4.527e-11 1.759e-10 2.212e-10
57.58 4.305e-11 1.717e-10 2.147e-10
59.10 4.097e-11 1.676e-10 2.085e-10
60.61 3.904e-11 1.636e-10 2.026e-10
62.13 3.724e-11 1.598e-10 1.970e-10
63.64 3.555e-11 1.561e-10 1.917e-10
65.16 3.398e-11 1.526e-10 1.866e-10
66.67 3.250e-11 1.492e-10 1.817e-10
68.19 3.111e-11 1.459e-10 1.770e-10
69.70 2.981e-11 1.427e-10 1.725e-10
71.22 2.858e-11 1.396e-10 1.682e-10
72.73 2.743e-11 1.366e-10 1.640e-10
74.25 2.634e-11 1.337e-10 1.601e-10
75.76 2.531e-11 1.309e-10 1.562e-10
77.28 2.434e-11 1.282e-10 1.526e-10
78.79 2.343e-11 1.256e-10 1.490e-10
80.31 2.256e-11 1.231e-10 1.456e-10
81.82 2.174e-11 1.206e-10 1.423e-10
83.34 2.096e-11 1.182e-10 1.392e-10
84.85 2.022e-11 1.159e-10 1.361e-10
86.37 1.951e-11 1.137e-10 1.332e-10
87.88 1.884e-11 1.115e-10 1.303e-10
89.40 1.821e-11 1.094e-10 1.276e-10
90.91 1.760e-11 1.073e-10 1.249e-10
92.43 1.703e-11 1.053e-10 1.223e-10
93.94 1.648e-11 1.034e-10 1.198e-10
95.46 1.595e-11 1.015e-10 1.174e-10
96.97 1.545e-11 9.963e-11 1.151e-10
98.49 1.497e-11 9.784e-11 1.128e-10
100.00 1.452e-11 9.610e-11 1.106e-10
101.52 1.408e-11 9.440e-11 1.085e-10
103.03 1.366e-11 9.275e-11 1.064e-10
104.55 1.326e-11 9.114e-11 1.044e-10
106.06 1.288e-11 8.957e-11 1.024e-10
107.58 1.251e-11 8.805e-11 1.006e-10
109.09 1.215e-11 8.656e-11 9.871e-11
110.61 1.182e-11 8.510e-11 9.692e-11
112.12 1.149e-11 8.369e-11 9.518e-11
113.64 1.118e-11 8.231e-11 9.348e-11
115.15 1.088e-11 8.096e-11 9.184e-11
116.67 1.059e-11 7.964e-11 9.023e-11
118.18 1.031e-11 7.836e-11 8.867e-11
119.70 1.004e-11 7.711e-11 8.715e-11
121.21 9.788e-12 7.588e-11 8.567e-11
122.73 9.540e-12 7.469e-11 8.423e-11
124.24 9.301e-12 7.352e-11 8.282e-11
125.76 9.072e-12 7.238e-11 8.145e-11
127.27 8.850e-12 7.126e-11 8.011e-11
128.79 8.636e-12 7.017e-11 7.880e-11
130.30 8.429e-12 6.910e-11 7.753e-11
131.82 8.230e-12 6.806e-11 7.629e-11
133.33 8.037e-12 6.704e-11 7.508e-11
134.85 7.851e-12 6.604e-11 7.389e-11
136.36 7.671e-12 6.506e-11 7.274e-11
137.88 7.497e-12 6.411e-11 7.161e-11
139.39 7.329e-12 6.317e-11 7.050e-11
140.91 7.167e-12 6.226e-11 6.943e-11
142.42 7.009e-12 6.136e-11 6.837e-11
143.94 6.857e-12 6.049e-11 6.734e-11
145.45 6.710e-12 5.963e-11 6.634e-11
146.97 6.567e-12 5.879e-11 6.535e-11
148.48 6.429e-12 5.796e-11 6.439e-11
150.00 6.295e-12 5.715e-11 6.345e-11
